condition_id,question,sub_category,grade,reason,ground_truth,entry_yes_price_3d
0x023e46ac9f644a03bcfcd2ac9cc382163cafb2a3bc586c21653ed29548558460,"Will Elon Musk post 340-359 tweets from November 21 to November 28, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0055
0x343bd70dc933edcae475b2053c6a3cf10ea6383ef2ef87d0ab70e31a045f8645,Marwan Barghouti released by October 31?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.017
0x81dc62c84e8f1d9f2cfd4ca576bf0d5ef27d39e0bcf7b12f115a9064ed0c15de,Will Rick Scott be the next Senate Majority Leader?,discretionary,CRISP,office-holder identity question,0,0.003
0xe36af7728445b62f1e06a904041d5f1455f9c290b07b91fc903696d08db762be,Will Robert Sarah be the next pope?,discretionary,CRISP,office-holder identity question,0,0.0225
0x715eb6357edc59dc38d9f7da929e63be58fa4d3b7bd1415d7950a60bd4317827,Will Zelenskyy and Putin meet next in Turkey?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0235
0xa90efba18a797c85610d23b1da4b99ffaad4c39e3d8f69e7040e8864eb597d52,"Will Elon Musk post 400-419 tweets from February 3 to February 10, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0015
0xa267dab4540df43726f82e371a31c2eadf27f7fd9b7ca37f1dea287936a45d29,Will Antonio Ecarri Angola Win the 2024 Venezuela presidential election?,discretionary,CRISP,named candidate + dated election,0,0.001
0xb232b902eb9d8aa18cd7923e1f35485711d9ee4434f41e99cf2380269bff0b7a,"Will the US next strike Iran on January 31, 2026 (ET)?",discretionary,AMBIGUOUS,"""next strike/attack"" no fixed date",0,0.033
0x18b1dc1565575cb2ff48bbc078070170ca3278691860cca7c97131fc657a9530,Will José Cardoso win the 2026 Portugal presidential election?,discretionary,CRISP,named candidate + dated election,0,0.0005
0x9d5303049d7f0e9a9c8a440200e3714dd5799e50602ab6cfbef0de40c06a9021,"Will Elon Musk post 140-159 tweets from December 12 to December 19, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0025
0x1856330daa03470c528752c1c10c1f5300e78fa808a93be29317fdcc4a791a9d,Will Republicans control 228 seats in the House after the election?,discretionary,CRISP,numeric seat threshold,0,0.001
0x6fbd4837e709e999c3f82eb22fa68fc08c424fdb41059aa0cdf3405d06773a0d,"Will Elon Musk post 160-179 tweets from March 3 to March 10, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0005
0x2bd564bdef719d33ddc1c564c80bf0b6da83632e902150e587964a91c1152ec9,Will a Republican win California US Senate Election?,discretionary,CRISP,partisan-outcome of named race,0,0.0215
0x38c7a14f589e49f43e6bfa9ed465441cac588d2d1c7c1415945df80e111fa5da,Will Andy Beshear be D-nom for VP on Election Day?,discretionary,CRISP,specific VP-nominee identity,0,0.0005
0xf981fb146169eac1cf8bd6e35a2102cc4f7efe92369ae1c413d532dc51d1cfe0,Will the next Dutch government be PVV + VVD + D66?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x60acc46cda1f0619259acf3ef8c77bf734ff08cbed256ca3d1e9444138e21266,Will Trump nominate Jerome Powell as the next Fed chair?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0xab6faa3e66abacc484bbb4bd31ae5e2a56d6f6252b5023631f1bd9e5299fa2f8,Will Donald Trump win Nobel Peace Prize in 2025?,discretionary,CRISP,Nobel committee announcement is crisp,0,0.021
0x7829bbc06202abf9db6b04e3ac3b9038922392d40b0344a398bb9b3852be29e1,Will a Republican win Massachusetts US Senate Election?,discretionary,CRISP,partisan-outcome of named race,0,0.028
0xbbfa1cdad9819acdd36bfa2fac3d2f1ff64021c3d4a7459661010ce9ff33cefb,"Will the US next strike Iran on January 29, 2026 (ET)?",discretionary,AMBIGUOUS,"""next strike/attack"" no fixed date",0,0.015
0xc52cb22f2ca2fff02170862d971fdeafb7c0ff13fde292a2af508546b337aa4c,Will Călin Georgescu win the Romanian presidential election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0xe2abc7b99067945a75cc308dd009e27e4191e09df00b77b3d314545287eb6cee,Will the next Dutch government be PVV + VVD?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0xdbf039208c7ec82f5fc414680ce98f0ce7e2bf396b12ed43e18519a354a6d7ed,Will Gholam-Hossein Esmaeili be the next President of Iran?,discretionary,CRISP,office-holder identity question,0,0.0005
0xf8455f2bf006c1de7244ced9b0cf2953ac2b9e32d1124c61cc519acc4c3e252c,"Will Elon Musk post 400-419 tweets from January 2 to January 9, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.05
0x0833435364858b75e88280c9eef252b0f1e4a5ec69712fb341e7e797da8776d9,"Will Elon Musk post 140-159 tweets from February 10 to February 17, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0005
0x6679ee3522c4fcb5266bbddcf75973bc2735d9c80c517e7c179c035680a01cec,Will a candidate from another party win Montana US Senate Election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.002
0x87aa0528695acd3266625acb21e282379e8bd15964a729576015542af3b36b17,Will the next Dutch government be PVV + GL/PvdA + VVD + CDA + D66?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0xeee36eb4a7474ed4415c966a86491a2880d799479c776776a0e1b06671e3b690,Will Sebastian Burduja be the next Mayor of Bucharest?,discretionary,CRISP,office-holder identity question,0,0.0005
0xdb38635fa192748f48d28aacb7dc05f8c5777f2c8f529a6647d81fb25dfa82dc,Will Zohran Mamdani not win the 2025 New York City mayoral election?,discretionary,CRISP,named candidate + dated election,0,0.045
0x874113a400a67fae988f00d1b78d3157b6bb8a6c1dc9fcb70f140de7166bea6c,Will Devin Nunes win the 2024 Republican VP nomination?,discretionary,CRISP,named race in specific year,0,0.0005
0xdf4d0baef31895effa199e618abe9ae3a8d6288bddcaad4e6ecd6df09594c25e,Biden vs Trump: who polls higher 1 week after debate?,discretionary,AMBIGUOUS,poll aggregation is methodology-dependent,0,0.0175
0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,Will any other Democratic Politician win the 2024 US Presidential Election?,discretionary,CRISP,named candidate + dated election,0,0.0005
0xdc4696c01c081834beae55f04eb852cf46e911fe63f779440390f753e9025fe9,"Will Elon Musk post 420-439 tweets from January 13 to January 20, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0015
0xc11dd6459a3a82ab0563a8fd7b76a5f2249c2607a9430ed66f8f2194c70a5982,Will Ahmed Aboutaleb become the next Prime Minister of the Netherlands?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x819c78a2541fe1402d06ff9f52d48c58fa09b783adca75d4d4eedf4a27d0e928,Will LaVerne Gore win the 2025 Cleveland mayoral election?,discretionary,CRISP,named candidate + dated election,0,0.012
0xabe05aa3efb620cf283a9a7f967eaced0aee898b14f3b170347a3392d7401f03,"Will France, UK, or Germany strike Iran by February 28?",discretionary,CRISP,specific dated strike deadline,0,0.007
0xf4c062740bed86e48b44177aae609c9c76e44cba5318aba240b94066939b672b,Will SPD win the most seats in the next German election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x89ff77ee1c11d6c8a480bfaab11eefd6f87b8f2076a065be0706453857dc0958,Will Iran close the Strait of Hormuz in 2025?,discretionary,AMBIGUOUS,"""close"" definition (full blockade vs partial) interpretation",0,0.0025
0xf86b5d640c385a42a621554ed9c766647c494917532a9f91d09241a440c5ed89,Will Dan Trifu finish third in the 2025 Bucharest mayoral by-election?,discretionary,CRISP,rank-order outcome from official tally,0,0.002
0xc40ccfa556630ab2202f19086f58bb2c0f4b5c563f7fbf575168744505f14dc4,Will Dan Trifu be the next Mayor of Bucharest?,discretionary,CRISP,office-holder identity question,0,0.0005
0xa068761026b778d901bda82e3fc1429b6a2922b68de80795ef7afd9204430a0d,Will Russia capture Kupiansk-Vuzlovyi by November 30?,discretionary,AMBIGUOUS,capture verification can be contested,0,0.0385
0x2e902560e7751b52d4476446d503f88b232677703759288949596016dd3fa4e7,Will Robert Giuffra be Trump's Attorney General?,discretionary,CRISP,Senate-confirmed AG identity,0,0.0015
0x935db621991284ca0b34b8b1243b8347bd55a62de82cf74859780b93ac4f1fda,Will the Bloc Québécois win the most seats in Alberta in the next Canadian Election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0xccbfe9aaeeb3639ebae86443370a955d5273ee47e43bd765bbd0a7306d3bce3a,Will Oman strike Iran by April 30?,discretionary,CRISP,specific dated strike deadline,0,0.004
0xea3c3d537c0495872754400b9ab59755a932d3e2b6115e309d62ed236ee1b612,Trump out as President in 2025?,discretionary,AMBIGUOUS,"""out"" requires legal/political interpretation",0,0.0025
0xe42745319821ec7c531d38afcb0cb9d8a53a414efc3470824b4103204bef7c97,Will Trump announce Judy Shelton as next Fed Chair in 2025?,discretionary,CRISP,dated event default,0,0.0045
0x89e2bbbd8edfbf77f96b92db99f854d7f1384842a52c5bf448800bd6324a0b6d,Will Amy Klobuchar be the Democratic Presidential Nominee?,discretionary,CRISP,official party nomination is crisp,0,0.0005
0x027fb2d0015f7fbae58491502e906948373c88cd49dc90f0d36c1e692644e42e,Will Olaf Scholz be the next Chancellor of Germany?,discretionary,CRISP,office-holder identity question,0,0.0105
0xb38ff89ca80358305983b93c73fea18d3269d7776f3bb77bfd75b0ce838cae70,Will Přísaha win the most seats in the next Czech parliamentary election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0015
0x08fbe3be22b176f9fd7a915ccd5b23470d6671747a05a4500346897f2834113e,[Single Market] Will Hillary Clinton win the U.S. 2024 Democratic presidential nomination?,discretionary,CRISP,official party nomination is crisp,0,0.01
0x02907c864d97466515cb46f5a738409b12a4569154fa62328f56555891804557,North Korea x South Korea military clash in 2024?,discretionary,AMBIGUOUS,"""military X"" requires interpretation of what counts",0,0.009
0x3ba0d281712a7df3cabf1d641af2f269b4f5a4932887e635793d6fcd4a09aac0,"Will Elon Musk post 520-539 tweets from March 6 to March 13, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0035
0xd1047755d35a03b7ceea9923daae56ecf67784446daa63e87eebc471b4b9dbd9,"US strikes Iran by January 16, 2026?",discretionary,CRISP,dated event default,0,0.0035
0x9b4b6d0fba8860423c65e62045380878bf16e8155d5e58277af99f65c625509c,"Will Elon Musk post 360-379 tweets from February 3 to February 10, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,1,0.0085
0xbca6d54d68335e9e27f1e14df168fdced87988d91eb5d411f61b869243c80099,Will another party win the most seats?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0015
0xd1e72aedfdb18839ca6532e2dbc95a89ecb93247298f1953d1d4c02e7889b1f4,Will the Government shutdown end October 31-November 3?,discretionary,CRISP,specific date for shutdown end,0,0.0005
0x67f5f2ce94e999560348ba7cea12b82e032f503f572084756bd6cad0b1f5bb3e, Karen Bass recall election called before September?,discretionary,AMBIGUOUS,process step (called) interpretation-dependent,0,0.015
0xa1997b3a88f85dfa1e838748cb5a00e082871276d8c057a7fa63cef88121a8f8,Starmer out before July?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.006
0x90cf5a30dbfb33d2a6c8f3335f891aa20e5d52c6b0d6365e04e6c11cf05d6a0d,Will Penny Mordaunt be next UK prime minister?,discretionary,CRISP,specific identity question,0,0.0005
0xd6fa28dce85f3fd0c3a25f6eec7980775a9c1e321e1f988c9fbd91760908be8f,Will the next Dutch government be PVV + CDA + D66?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x438a3a56964f33c393d34b0e57f709bc1721a679c962e81642e5487930e4dc96,Will another candidate be D-nom for VP on Election Day?,discretionary,CRISP,specific VP-nominee identity,0,0.0005
0xdd38f1c91c1a1b90d4268afa7178d570c7efe3597ef3271594ab689d7423e597,Will Reza Pahlavi enter Iran before September?,discretionary,AMBIGUOUS,physical presence verification ambiguous,0,0.002
0x464970747ef4695bbf1d46757b122caa5b3fad410f8a79bcc773e6524b769835,Will a candidate from another party win Delaware Presidential Election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0045
0xac51c43100e1aaf4968aa61fe72eb320dd308959dc6a7a14a6f3ebe758e7f88d,Trump nominates Elon Musk to Cabinet?,discretionary,AMBIGUOUS,cabinet nomination type interpretation,0,0.011
0x03ae1b62fa4eea75c286e9d461afa30d943be864f61dcc1f86f6764c4ec099c6,Will Ahsha Safai win the San Francisco Mayoral Election?,discretionary,CRISP,named candidate + dated election,0,0.0015
0x5b19d5d3ee794049f4ff27a66d87a7cf3fc55abf317e331988716a7b41f0c297,Will a candidate from another party win Arkansas Presidential Election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0035
0xbcbaf0cda0371263542ae37e012a021f0f3a1ec85a4e674f95cdfeb18fa39d0c,Will Elon Musk post 60-79 tweets in April 2026?,discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0005
0x78dca20ad6401138b24acc0d953b58fd2676128a92afb515f257dd334da9023c,Will a candidate from another party win Washington US Senate Election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0075
0x7971c1427c8fb405b03774efe61de9abd937c83e74944c09f2deefd66601f8b0,"Will Elon Musk post 0-19 tweets from February 27 to March 6, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.001
0xcdd330cae61b17c8e88dc1376d7de966f39387427bdac9d6d100f2a1d92947e3,Yoon in jail before July?,discretionary,AMBIGUOUS,incarceration status interpretation,0,0.045
0x387d5a499328023ded8132ce272b4faf87eccfa6521737a85bfe09a01183c2ef,Will ODS win the most seats in the next Czech parliamentary election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0045
0x9bbd4aaca039b708e2c0c3b6324d3037be46c44db49541e6b0fc38c8ab719f0a,Will Stuart Cooper win TN-7 Special Election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x8288d2d383414fce6bc4b7609ed5074c86bce99cb0b13ff01a23bad674901998,Will another candidate win the MN-5 Democratic House District?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x26c0b0cbc44517dfc8ad8c750ee24e048e5ca733155515c0ac4bce686317bbb1,Hunter Biden in jail before election day?,discretionary,AMBIGUOUS,incarceration status interpretation,0,0.0135
0xdbded28bb7b5ef0ae091e60894c4c8aa1556de87d2e8edac6104be50b69cc6a8,Trump sentenced to prison in NY case before election?,discretionary,AMBIGUOUS,sentencing-event interpretation,0,0.0085
0xc87eefa985446d46cd4251c089e120d6583f532df43d2f6a277b5c253097be8e,Will Trump go on SNL before inauguration?,discretionary,AMBIGUOUS,"appearance scope (host, guest, cameo)",0,0.0045
0xab53ef40981b322cd90b06272dacbd778a427d77655898f1d9a741cf5b5e3d50,Will Kim Dong-yeon be elected the next president of South Korea?,discretionary,CRISP,specific office identity,0,0.0005
0x34d650cd671bfe703a0bbb2b2aab0387afb6292a6cdf4a08836245246b4f7b54,Will Elise Stefanik be the first elected Speaker of the House for the 119th congress?,discretionary,CRISP,specific procedural office,0,0.004
0xafd8bd9f9f4fcf42dcd1a159990126dff2ffe8b3afb9543b4a4e565c94b0d0f0,Will Kamala lead in RCP by 3.5 or more on Oct 4?,discretionary,CRISP,RCP lead is a defined index threshold,0,0.0025
0x74f97b1c6caf682f5ef9ccd325b3344959bf8fd38fe565e5398ecfebb827b4c0,Will Biden announce resignation by July 31?,discretionary,AMBIGUOUS,announcement is interpretation-dependent (rumor vs official),0,0.015
0x8e97cc08d441a872877f33d66730a30c98a3735c5b64cd72a9b9e779c9737c8f,North Korea nuke by May 31?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.013
0xca9d229eb89ebbc44fcee5469c9ca9c9cff9c35dbb451cd2cf2321decc933536,Will the US strike Iran next?,discretionary,AMBIGUOUS,"""next strike"" lacks date scope",0,0.0005
0x27e47fcc55d252f5ffeee42bf8e2d7d6d5a54e4ff7a31e95e5cb057e18b7d0dc,Will a Republican win Maine US Senate Election?,discretionary,CRISP,partisan-outcome of named race,0,0.029
0x6831e2d6108d2316252466bf828cdb02aa16c5e8152ff428d2c0a035d5637e60,Will Elon Musk post 440-459 tweets in December 2025?,discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0005
0xb6bd48fa92be4a8bc52b307d9aa34b1fc79adbf58bc3ab1599a9aef0b4344495,Will Caroline van der Plas become the next Prime Minister of the Netherlands?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0005
0x768603866bc5ce73836ccae47d72ee47cdd605d41320d3894ca41412f784d775,[Single Market] Will Nikki Haley win the U.S. 2024 Republican presidential nomination?,discretionary,CRISP,official party nomination is crisp,0,0.0025
0x6e4a56d8073645a86354e47f82a70f8ccc1881cbdcb54e0a32fbebb954f2ce9b,Will Matt Gaetz be Trump's Attorney General?,discretionary,CRISP,Senate-confirmed AG identity,0,0.0005
0x937b00af36c37c4f0a627bfa522c5aa677d661588851b368715af2e58bb1b20f,Will POTUS tweet 11-13 times Feb 7-14?,discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.0215
0x2f4dc2d6eb4d8385899d543c44a994949a260f34a3f6df2e9ef5d8697ddfa7d5,Will Joe Biden be the 2024 Democratic VP nominee?,discretionary,CRISP,official party nomination is crisp,0,0.0005
0x23fd2b26c4e095465ba0d2ebce8d5eda57009ddc59aad8b68ab19ca968b41eed,"Israel strikes Iran by January 31, 2026?",discretionary,CRISP,dated event default,0,0.055
0x661a6d0e875ac492ff936bbe61b899ef0dd48f44936f33438720d484fdfcbc7e,Will a Republican win New Mexico Presidential Election?,discretionary,CRISP,partisan-outcome of named race,0,0.075
0x5643164887403da23bf20c0f7ac21dcf56acba71e41772f4947eedda9cda59c5,"Will Elon Musk post 300-319 tweets from November 25 to December 2, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.176
0x170e269fe2091f2092c5c1ddafca0519081a0bafcb0941ae13fbc1addb08d782,Will Republicans have 54 seats in Senate after election?,discretionary,CRISP,numeric seat-count,0,0.1195
0xbbd25d204f6666004598d64000fea1bef677767e3268026fc57f4f9e348dd96e,"Will Trump say ""Charlie Kirk"" in March?",discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.16
0xc72a9d5b3221905539ede69f52a5e990a7325f1610216b2620705cf2a3cd6472,"Will Elon Musk post 260-279 tweets from December 9 to December 16, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,1,0.127
0xff21f6951a1a4fd0e9d12d1bc641e49943e81a0f54487d20e8967a84ee39ebd2,"Will Elon Musk post 180-199 tweets from November 18 to November 25, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.075
0x475e0fd32b211c0cfe6755638efceba2373d01a7224c7750f77f978db104f639,2024 presidential election: GOP wins by 105-154,discretionary,CRISP,numeric vote-margin threshold,0,0.0975
0x669b35203fbaaf260e1e5198b8ca2ebd7887d7ffa6985dab99abb0bf94ef674e,Will the red bloc win between 78 and 80 seats in the Norwegian election?,discretionary,CRISP,numeric range/threshold,0,0.08
0x67cf70277c7adc7c1de3bc26d5867124ce836be8e7cf120269406e2bef788caa,"Will Elon Musk post 260-279 tweets from November 11 to November 18, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,1,0.162
0x1407ef3df88eeb834f5acc7c83dd1a52a62fa2c79a10a4c1184c585936e9faa3,"Military action against Iran ends on April 11, 2026?",discretionary,AMBIGUOUS,"""military X"" requires interpretation of what counts",0,0.0765
0x50d01a34bec98cbbdccca27ce177d3643c95d95672036a9528f491bdfcbba974,"Will Elon Musk post 280-299 tweets from January 30 to February 6, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,1,0.1505
0xcd6b8c35e1e11e19967784b0aa6811fc20a81639201203122de2c063fa9bb646,"Will Rutte say ""Nazi"" or ""Hitler"" during NATO Public Forum Address on June 24?",discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.085
0xe1565440a5643fb6fce8235617264fa18a24c1bafb4601f9c30aeb0134ac79a8,Will Kamala Harris win Hawaii by the largest margin?,discretionary,AMBIGUOUS,comparative-largest requires tie-break convention,0,0.125
0x9fa71d8f9795c72c4573baf18a30dca215b9a4a7b7d9b8eb54ae6a02889eb1a5,"Will Elon Musk post 380-399 tweets from December 23 to December 30, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.105
0x6d20fbec2da69596c8c350ba463fb1132ec47a34c89d71d0294ca75b6c419339,Will another person win the Bolivian election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),1,0.075
0xf4cef13ee0ed433972e45b5e8a8571f814a3b220870aa9cfefab972ffb32bdd8,Will Taylor Swift attend the DNC?,discretionary,AMBIGUOUS,attendance verification can be ambiguous,0,0.195
0xc7ccf00d77e843b86ea9d9027e6c1da91c52f8fea154658d740dfc0a15bc6a74,"Will Elon Musk post 440-459 tweets from December 30 to January 6, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.0615
0x6ef8ef55a05e303a09b6fa1f2c00d18d4c98eb3d829b44db82a03be665ab901c,Russia x Ukraine Ceasefire by Friday? ,discretionary,AMBIGUOUS,ceasefire definition / scope ambiguity,0,0.059
0x729832336b1344aab2531ba0bfb192a674fce114004eb020d5bc3cd9bfcb40d3,Will Ramaswamy place 2nd in the 2024 Iowa Caucus?,discretionary,CRISP,rank-order outcome from official tally,0,0.065
0xc5675bc58c8117391cc243780c1b709ce1ef744aa27779c78ee82f3dc974ca1b,Will the Kharg Island oil terminal be hit by April 30?,discretionary,AMBIGUOUS,"""hit"" threshold (damage level) interpretation",0,0.07
0xbdaabd5cd63551f73e6f046fc3fadd410c324ffa92a755660a4cfd08d030a619,"Will Elon Musk post 160-179 tweets from November 18 to November 25, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.165
0x84d3f50aed81bd7e414e0e9f86f07b9ca439c4d672d7141562f9ff3dfe740b10,"Will Trump say ""Crooked Joe"" during victory rally? ",discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.135
0x6e49c30d1d8d5cc632a19cee18355a5b6fce100087222c86f448ec22003cc5e1,"Will Elon Musk post 340-359 tweets from November 25 to December 2, 2025?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.051
0x613e429931f3073610c3a54c5c80c592fb9b949da3d5fbc8375bf5e9f188fc20,"Will the 7-day moving average of Strait of Hormuz transits be between 12 and 15 on April 12, 2026?",discretionary,CRISP,numeric threshold,0,0.145
0x039b490964fb1224c7bccc8d62cad1e0a9dbd676973bf4f110b7fe8f9f2742e5,"Will Trump say ""carnage"" during his inauguration speech?",discretionary,CRISP,default crisp (no ambiguity triggers fired),0,0.175
0x45217673671bd96b4449ead71cc5a2cce050254142ca078d1bdfa044f60c2293,"Will Donald Trump post 120-139 Truth Social posts from April 24 to May 1, 2026?",discretionary,CRISP,mechanical numeric/observable count with bounded scope,0,0.2
0xbd5d1e406ef6afdf1bbf2fe3ccb2b936f3bac9a163a291b58c01cd03d830288d,Will Eric Conroy be the Republican nominee for OH-01?,discretionary,CRISP,official party nomination is crisp,1,0.97
0xf72c6c1e44bcf0108ad3d126e41e5dac1bc27336d88edd13580b6cb0e38f2d93,Will Nigel Farage win election to UK parliament?,discretionary,CRISP,default crisp (no ambiguity triggers fired),1,0.937
0x0a573d0d2e1f013707b2b6b5429b35db371fdb31f67909ed719abb381b1de6e1,Will a Democrat win New York Presidential Election?,discretionary,CRISP,partisan-outcome of named race,1,0.9765
0x29e7164544fd3c577bd2da5a9079ba388b1e4dcd6c52cb70bac4eb75abf00173,Will Missouri's abortion protection measure pass?,discretionary,CRISP,ballot measure pass/fail,1,0.87
0x6541d506c7a337b80fb9e4ed7487347a90d8c59071136e7caa11dc42b3755eb5,Will Trump debate Kamala on Sept 10?,discretionary,CRISP,specific debate event on specific date,1,0.982
0xb156f975ef4e42fc1c32bb838098adcb91fd88f4cd6be2004b95ad53540a7bb7,Will a Republican win Nebraska's 3rd congressional district?,discretionary,CRISP,partisan-outcome of named race,1,0.9835
0x6104608801f44f9a32275c9a9bbe044414a64956000a1177362be5ef27e5ac44,Trump admin announces cutting Ukraine aid by Friday?,discretionary,AMBIGUOUS,relative weekday date — context-dependent scope,1,0.885
0x04a1462e83c415194ac700181bd97f97db149fdcfa4fd3fef745795cfe3ad975,Will Jeannette Jara win the 1st round of the 2025 Chilean presidential election?,discretionary,CRISP,named candidate + dated election,1,0.935
0x9dde2865d61deaeae5e1ed23c3cc2d3645f354f807d46d8108df293f8681b9a2,Will Norway win the most gold medals in the 2026 Winter Olympics?,discretionary,CRISP,gold-medal table outcome,1,0.9955
0xc5beee218c5ebc772faa7f53a7196a3d1ba16dfcb74767586c232c2e3c89ed3c,Will a Democrat win New York US Senate Election?,discretionary,CRISP,partisan-outcome of named race,1,0.974
0x40802562d59f370cc95cd842fde20462fcb627cb275d418fac2e984762f037a2,Will Ukraine hold Kursk through 2024?,discretionary,AMBIGUOUS,territorial control verification can be contested,1,0.994
0x3ee86a850a9f5b495d65ad5e409e5903a1f14ccc78c4e8bfa82fdb4c497b543d,Will Ap win the most seats in the next Norwegian parliamentary election?,discretionary,CRISP,default crisp (no ambiguity triggers fired),1,0.925
